name,state_code,state_name,county,lat,lon,population,feature_type
Adak,AK,Alaska,Aleutians West,55.999722,-161.207778,,Populated Place
Akiachak,AK,Alaska,Bethel,60.891854,-161.39233,,Populated Place
Akiak,AK,Alaska,Bethel,60.890632,-161.199325,,Populated Place
Akutan,AK,Alaska,Aleutians East,54.143012,-165.785368,,Populated Place
Alakanuk,AK,Alaska,Kusilvak,62.746967,-164.60228,,Populated Place
Aleknagik,AK,Alaska,Dillingham,59.269688,-158.619882,,Populated Place
Aleutians East Borough,AK,Alaska,,54.85,-163.41667,,Populated Place
Aleutians West Census Area,AK,Alaska,,52.16298,-174.28505,,Populated Place
Allakaket,AK,Alaska,Yukon Koyukuk,66.543197,-152.712155,,Populated Place
Ambler,AK,Alaska,Northwest Arctic,67.46951,-156.455652,,Populated Place
Anaktuvuk Pass,AK,Alaska,North Slope,68.11878,-151.679005,,Populated Place
Anchor Point,AK,Alaska,Kenai Peninsula,59.788818,-151.732933,,Populated Place
Anchorage,AK,Alaska,Anchorage,61.211571,-149.876077,291538,Populated Place
Anchorage Municipality,AK,Alaska,,61.16667,-149.25056,,Populated Place
Anderson,AK,Alaska,Denali,64.300693,-149.1718,,Populated Place
Angoon,AK,Alaska,Skagway Hoonah Angoon,57.569832,-134.371052,,Populated Place
Aniak,AK,Alaska,Bethel,61.691648,-157.758502,,Populated Place
Anvik,AK,Alaska,Yukon Koyukuk,62.830913,-160.130441,,Populated Place
Arctic Village,AK,Alaska,Yukon Koyukuk,68.077395,-145.423115,,Populated Place
Atka,AK,Alaska,Aleutians West,52.199167,-174.213333,,Populated Place
Atqasuk,AK,Alaska,North Slope,71.290556,-156.788611,,Populated Place
Auke Bay,AK,Alaska,Juneau,58.3833,-134.6597,,Populated Place
Badger,AK,Alaska,,64.8,-147.53333,,Populated Place
Barrow,AK,Alaska,North Slope,71.234637,-156.817409,,Populated Place
Bear Creek,AK,Alaska,,60.16417,-149.395,,Populated Place
Beaver,AK,Alaska,Yukon Koyukuk,66.33883,-147.279803,,Populated Place
Bethel,AK,Alaska,Bethel,60.832389,-161.824053,,Populated Place
Bethel Census Area,AK,Alaska,,60.75056,-160.50056,,Populated Place
Bettles Field,AK,Alaska,Yukon Koyukuk,67.100495,-151.062414,,Populated Place
Big Lake,AK,Alaska,Matanuska Susitna,61.5842,-149.4401,,Populated Place
Brevig Mission,AK,Alaska,Nome,65.334187,-166.478578,,Populated Place
Bristol Bay Borough,AK,Alaska,,58.75056,-156.83333,,Populated Place
Buckland,AK,Alaska,Northwest Arctic,65.981052,-161.131676,,Populated Place
Butte,AK,Alaska,,61.54222,-149.03333,,Populated Place
Cantwell,AK,Alaska,Denali,63.395458,-148.89735,,Populated Place
Central,AK,Alaska,Yukon Koyukuk,65.468058,-144.74886,,Populated Place
Chalkyitsik,AK,Alaska,Yukon Koyukuk,66.719,-143.638121,,Populated Place
Chefornak,AK,Alaska,Bethel,60.153746,-164.210294,,Populated Place
Chevak,AK,Alaska,Kusilvak,61.583982,-164.776457,,Populated Place
Chicken,AK,Alaska,Southeast Fairbanks,64.075,-141.933333,,Populated Place
Chignik,AK,Alaska,Lake And Peninsula,56.301639,-158.415696,,Populated Place
Chignik Lagoon,AK,Alaska,Lake And Peninsula,56.251277,-158.673528,,Populated Place
Chignik Lake,AK,Alaska,Lake And Peninsula,56.255556,-158.7625,,Populated Place
Chitina,AK,Alaska,Valdez Cordova,61.516667,-144.436667,,Populated Place
Chugiak,AK,Alaska,Anchorage,61.409802,-149.453736,,Populated Place
Circle,AK,Alaska,Yukon Koyukuk,65.824542,-144.08262,,Populated Place
City and Borough of Wrangell,AK,Alaska,,56.41331,-132.32009,,Populated Place
Clam Gulch,AK,Alaska,Kenai Peninsula,60.201603,-151.422628,,Populated Place
Clarks Point,AK,Alaska,Dillingham,58.84921,-158.451241,,Populated Place
Clear,AK,Alaska,Denali,64.418121,-149.139885,,Populated Place
Coffman Cove,AK,Alaska,Prince Wales Ketchikan,55.342222,-131.646111,,Populated Place
Cohoe,AK,Alaska,,60.36861,-151.30639,,Populated Place
Cold Bay,AK,Alaska,Aleutians East,55.610952,-161.942941,,Populated Place
College,AK,Alaska,,64.85694,-147.80278,,Populated Place
Cooper Landing,AK,Alaska,Kenai Peninsula,60.476692,-149.823514,,Populated Place
Copper Center,AK,Alaska,Valdez Cordova,61.91581,-144.97793,,Populated Place
Cordova,AK,Alaska,Valdez Cordova,60.102558,-147.943316,,Populated Place
Craig,AK,Alaska,Prince Wales Ketchikan,55.47317,-133.117081,,Populated Place
Crooked Creek,AK,Alaska,Bethel,61.818072,-158.002483,,Populated Place
Deering,AK,Alaska,Northwest Arctic,66.062265,-162.711951,,Populated Place
Delta Junction,AK,Alaska,Southeast Fairbanks,64.005426,-145.613611,,Populated Place
Deltana,AK,Alaska,,63.87217,-145.21773,,Populated Place
Denali Borough,AK,Alaska,,63.78889,-150.19167,,Populated Place
Denali National Park,AK,Alaska,Denali,63.516075,-149.539532,,Populated Place
Diamond Ridge,AK,Alaska,,59.67611,-151.5575,,Populated Place
Dillingham,AK,Alaska,Dillingham,59.059279,-158.973533,,Populated Place
Dillingham Census Area,AK,Alaska,,59.76193,-158.31848,,Populated Place
Douglas,AK,Alaska,Juneau,58.275597,-134.395041,,Populated Place
Dutch Harbor,AK,Alaska,Aleutians West,53.362757,-167.510656,,Populated Place
